date,Global_Disaster_Total,Global_Holidays_Average,Global_Holidays_Total,PT_Animal-Assisted Interventions,PT_Antidepressants,PT_Antipsychotic Medications,PT_Behavioral Activation Therapy,PT_Benzodiazepines,PT_Biofeedback Devices,PT_Brain Stimulation Technologies,PT_Brain-Computer Interface,PT_Cognitive Behavioral Therapy,PT_Cognitive Enhancement Programs,PT_Cognitive Technologies,PT_Creative Arts Therapies,PT_Dietary Interventions & Supplements,PT_Digital Health Tools,PT_Digital Imaging Technologies for Brain Scanning,PT_Electroencephalography,PT_Exposure Therapy,PT_Expressive Writing & Journaling,PT_Eye Movement Desensitization and Reprocessing,PT_Genetic Testing,PT_Interpersonal Psychotherapy,PT_Meditation and Relaxation Techniques,PT_Metaverse,PT_Mindfulness-Based Stress Reduction,PT_Mood Stabilizers,PT_Neurocognitive Training,PT_Neurofeedback Systems,PT_Neuromodulation Techniques,PT_Neuroprotective Agents,PT_Peer Support Programs & Online Communities,PT_Personalized Medicine,PT_Privacy-Preserving AI in Digital Mental Health,PT_Psychoeducation Programs,PT_Psychophysiological Metrics for Treatment Response,PT_Regenerative Medicine Approaches,PT_Resting-state Functional Magnetic Resonance Imaging,PT_Selective Serotonin Reuptake Inhibitors,PT_Social Skills Training,PT_Stem Cell Therapy for Neurological Disorders,PT_Traditional & Alternative Medicine Approaches,PT_Transcranial Magnetic Stimulation,PT_Trauma-Focused CBT,PT_Virtual Reality Exposure Therapy,PT_Voxel-based Lesion-Symptom Mapping,RMD_Anorexia nervosa,RMD_Antisocial Personality Disorder,RMD_Autosarcophagy,RMD_Avoidant Personality,RMD_Boanthropy,RMD_Body Integrity Dysphoria,RMD_Brief Psychotic,RMD_Capgras,RMD_Childhood Disintegrative Disorder,RMD_Circadian Rhythm Sleep-Wake,RMD_Cyclothymic,RMD_Delusional,RMD_Dementia pugilistica,RMD_Diogenes,RMD_Disinhibited Social Engagement,RMD_Dissociative Fugue,RMD_Ekbom,RMD_Erotomanic,RMD_Factitious,RMD_Fregoli Delusion,RMD_Ganser,RMD_Hallucinogen-Induced Psychotic,RMD_Histrionic Personality,RMD_Hypergraphia,RMD_Hyperthymesia,RMD_Impulse Control,RMD_Intermetamorphosis,RMD_Kleine-Levin,RMD_Kleptomania,RMD_Landau-Kleffner,RMD_Narcissistic Personality,RMD_Olfactory Reference,RMD_Othello,RMD_Palilalia,RMD_Paramnesia,RMD_Postpartum Psychosis,RMD_Psychogenic Amnesia,RMD_Pyromania,RMD_Reactive Attachment,RMD_Reduplicative Paramnesia,RMD_Rumination,RMD_Savant,RMD_Schizoaffective,RMD_Schizotypal Personality,RMD_Selective Mutism,RMD_Stendhal,RMD_Walking Corpse,RMD_koro
2007-12,25,2.36,85,0,41,27,7,22,0,0,16,99,0,17,1,0,9,1,52,56,1,0,18,4,1,3,17,12,0,0,2,8,0,33,0,0,13,5,0,32,4,6,27,66,2,2,1,58,50,0,8,0,18,23,19,27,0,71,4,0,21,1,18,33,19,43,14,24,10,15,0,11,32,0,9,35,3,36,0,57,24,0,12,32,52,52,29,10,45,43,8,42,37,2,9
2008-01,39,1.72,62,1,47,36,0,23,1,0,16,173,0,0,5,0,4,0,185,0,0,21,0,22,0,25,51,34,0,0,2,32,0,89,0,1,0,0,0,105,0,0,0,275,1,10,0,59,51,1,8,0,45,33,13,24,1,89,2,1,24,0,12,23,21,50,20,9,1,13,13,34,1,0,1,35,7,42,2,47,28,0,16,23,37,52,35,10,40,52,7,46,14,2,7
2008-02,27,0.89,32,2,51,38,0,24,0,0,20,101,0,0,0,0,0,0,27,0,0,4,0,31,2,0,5,9,0,0,1,2,0,29,0,0,0,1,2,29,0,0,0,131,3,0,0,57,52,0,9,0,13,40,16,22,1,76,2,0,22,0,10,40,27,59,24,16,0,14,12,19,8,2,0,38,0,37,2,56,56,0,17,29,36,51,36,12,49,48,8,63,18,4,7
2008-03,19,1.78,64,2,46,39,0,23,0,0,18,99,0,13,0,0,0,0,37,0,0,6,3,12,0,4,17,30,0,0,1,5,0,30,0,1,0,0,1,36,0,0,0,89,1,0,1,56,53,0,8,0,17,44,14,24,2,75,45,2,38,0,13,28,25,45,17,13,0,13,14,15,28,0,3,42,5,35,0,52,28,0,14,21,38,64,27,13,36,52,9,58,14,3,7
2008-04,14,0.83,30,0,47,25,0,23,2,0,18,96,0,0,0,0,0,0,39,2,0,10,0,40,1,3,9,31,0,0,1,5,0,33,0,0,0,3,0,43,0,0,0,73,0,1,0,61,53,0,9,0,14,29,14,32,0,82,2,0,30,2,19,30,20,61,16,11,0,15,17,12,1,0,1,39,0,37,0,48,40,0,16,47,41,65,38,9,47,56,8,68,16,3,10
2008-05,34,1.61,58,0,41,37,0,22,0,0,17,48,0,0,1,0,0,0,58,2,0,3,0,13,1,0,7,10,3,0,0,2,0,93,0,0,0,1,1,27,0,0,0,115,1,1,0,60,55,0,11,0,19,28,15,20,0,79,3,0,25,0,17,31,19,44,16,11,0,14,13,21,1,0,2,40,1,39,0,49,38,0,13,38,42,53,44,15,65,52,7,51,23,3,8
2008-06,22,0.78,28,0,39,36,0,22,0,0,19,53,0,0,0,0,0,0,47,0,0,1,4,14,1,8,7,9,0,0,0,3,0,30,0,0,0,1,2,47,0,0,0,59,0,0,0,44,49,0,8,0,34,24,11,24,0,78,27,0,23,0,10,35,23,42,13,9,0,14,21,16,15,0,0,34,4,35,0,39,39,0,12,18,40,43,34,5,41,51,6,45,24,2,19
2008-07,39,0.39,14,0,39,33,0,21,0,0,18,79,0,0,0,0,0,0,55,0,0,9,0,6,0,4,18,9,0,0,0,8,0,30,0,0,0,1,1,40,0,0,0,136,3,11,0,41,50,0,8,0,17,25,13,20,1,66,35,0,16,2,8,35,23,42,14,18,0,15,17,9,3,0,3,38,2,35,0,33,27,0,12,14,34,48,26,8,62,48,7,33,15,2,28
2008-08,48,0.64,23,1,38,29,0,23,2,0,20,58,0,0,0,0,0,0,52,1,0,6,2,21,1,2,8,10,0,0,0,7,0,42,0,1,2,0,5,37,0,1,0,68,0,0,1,39,52,0,7,0,18,37,12,21,1,68,2,0,17,0,8,38,20,35,14,9,0,12,16,11,1,0,2,40,1,40,44,29,34,0,14,20,36,47,21,8,49,46,6,34,13,2,29
2008-09,50,0.72,26,3,42,44,0,27,0,0,16,100,0,11,0,0,0,0,58,2,0,2,6,23,7,6,47,13,0,0,2,12,0,45,0,0,0,1,7,41,1,1,0,109,0,1,0,42,50,0,9,0,19,32,11,23,0,73,38,0,23,0,11,28,22,42,18,13,0,13,16,13,64,0,2,43,8,42,0,32,32,0,12,21,36,51,31,11,54,47,7,56,14,2,16
2008-10,31,1.47,53,0,43,46,0,28,0,0,19,150,0,9,0,0,0,0,36,3,0,3,0,13,0,7,8,19,0,0,3,2,0,45,0,0,1,1,1,24,2,0,0,96,1,20,0,49,59,1,8,0,17,32,13,28,0,76,23,1,18,2,11,38,23,54,17,21,0,15,19,20,2,0,1,44,0,40,0,43,38,0,16,29,38,54,30,14,46,50,8,55,13,3,16
2008-11,36,0.75,27,0,48,29,0,26,0,0,20,114,0,9,0,0,1,0,1,0,0,5,0,7,0,1,12,15,0,0,1,4,0,29,0,0,0,0,0,117,0,0,1,84,0,1,0,57,57,0,11,0,17,32,16,29,2,78,7,0,19,3.5,17,39,26,48,15,24,0,19,13,14,14,0,1,48,4,38,38,51,38,0,15,40,40,60,38,10,55,48,10,54,11,2,14
2008-12,28,2.36,85,0,43,24,6,27,0,0,15,52,0,10,3,0,5,0,47,3,2,3,8,4,1,3,6,13,0,0,13,9,0,51,0,0,24,4,1,32,1,5,23,64,0,1,1,45,58,0,8,0,15,26,13,28,0,66,5,0,20,0,17,28,24,46,10,13,39,15,12,9,3,0,3,46,1,37,3,49,23,0,11,30,43,54,28,9,42,43,9,40,33,3,12
2009-01,59,2.28,82,2,44,41,0,26,2,1,15,206,0,14,6,0,9,0,259,0,0,10,1,43,0,25,62,67,0,0,2,28,0,161,0,7,0,2,2,113,0,0,0,266,0,31,0,53,64,0,8,0,26,27,13,20,0,69,2,1,36,1.5,12,46,26,46,14,17,0,13,20,9,1,0,2,49,2,44,0,42,32,0,12,22,46,50,20,14,50,43,6,44,15,1,8
2009-02,15,0.5,18,0,46,39,0,26,0,0,18,102,0,10,2,0,0,0,42,0,0,5,0,8,5,7,12,1,0,0,0,3,0,81,0,0,0,0,1,23,0,0,1,45,1,0,0,47,56,0,8,0,19,25,14,21,0,74,15,0,25,2,12,36,24,58,20,15,0,14,17,12,12,0,2,52,0,45,1,51,29,0,15,22,42,55,22,13,49,52,7,48,20,2,15
2009-03,16,0.92,33,0,46,29,0,27,0,0,18,52,0,14,0,0,0,0,54,0,0,1,0,11,3,3,12,9,0,0,0,2,0,43,0,0,0,0,1,32,0,0,0,62,0,16,1,48,48,10,8,0,23,41,14,23,1,83,13,1,27,0,20,23,22,50,15,11,0,14,10,20,2,0,0,55,3,51,0,57,23,0,13,29,39,51,29,11,54,52,8,50,20,2,8
2009-04,20,1.64,59,0,47,43,0,29,1,0,20,51,0,0,1,0,0,0,55,0,0,7,1,19,0,2,20,25,0,0,1,8,0,139,0,0,0,0,1,37,0,0,0,88,0,1,2,65,57,0,10,29,38,23,17,25,0,85,1,0,25,0,19,59,25,55,16,19,39,15,13,12,21,0,2,53,0,44,38,51,44,0,16,38,41,53,24,16,47,54,9,48,16,2,9
2009-05,25,1.81,65,0,46,46,0,28,0,0,17,49,0,9,0,0,0,0,72,8,0,1,3,5,1,1,12,9,0,0,1,4,0,72,0,0,0,4,1,30,0,0,0,80,0,3,1,48,59,0,9,0,42,40,17,27,0,78,18,43,28,1.5,17,28,25,59,17,14,0,19,7,13,1,0,4,57,1,45,34,49,26,0,15,35,35,49,29,16,52,51,11,50,20,2,9
2009-06,23,0.78,28,6,61,41,0,31,0,0,16,49,0,0,0,0,0,0,66,1,0,8,0,5,1,2,19,24,0,0,0,1,0,45,0,3,0,4,0,35,0,1,0,111,0,1,0,40,49,0,10,0,15,37,13,28,0,77,1,1,21,1.5,12,30,28,48,14,22,0,14,14,10,18,0,0,56,0,47,56,38,43,0,14,20,42,47,22,14,38,53,7,45,15,2,7
2009-07,49,0.42,15,0,47,38,0,30,0,1,17,66,0,9,7,0,0,0,73,0,0,2,1,19,3,0,21,17,0,0,1,3,0,84,0,0,0,1,1,33,0,0,0,81,1,10,2,32,59,0,10,0,19,20,12,18,0,71,2,0,22,0,10,27,30,49,14,17,0,14,14,13,19,0,0,46,8,41,28,40,28,0,17,23,43,43,17,10,41,52,6,34,18,2,8
2009-08,32,0.61,22,0,55,45,2,31,0,0,17,58,0,13,0,0,1,0,63,0,4,12,1,4,0,3,22,9,0,0,0,4,0,46,0,0,0,3,2,23,0,2,0,90,1,1,2,33,59,0,8,0,21,29,16,20,1,77,2,1,26,0,13,28,31,42,14,14,32,14,12,8,1,1,2,50,1,49,0,34,19,0,14,18,37,39,28,11,35,51,7,34,57,0,9
2009-09,48,1.22,44,0,50,45,1,32,0,0,19,106,0,16,2,0,0,0,83,0,0,6,2,4,0,6,13,1,1,0,0,6,0,85,0,0,0,3,0,32,0,1,1,88,1,4,2,41,54,0,8,0,15,28,33,24,0,76,25,39,22,1,12,35,26,49,17,23,29,14,13,13,38,0,1,42,2,65,2,42,33,0,12,25,40,45,35,11,45,62,7,49,17,2,7
2009-10,21,1,36,0,58,54,0,33,0,0,18,90,0,0,0,0,0,0,59,4,0,4,1,22,0,1,8,10,1,0,0,6,0,46,0,0,3,4,1,5,0,5,6,142,0,1,0,44,59,0,10,0,20,30,17,28,0,85,3,0,24,1.5,14,29,30,66,19,16,0,16,11,15,2,0,1,47,0,44,34,49,34,0,13,27,38,53,33,15,42,61,9,52,19,2,7
2009-11,42,1.44,52,1,53,62,1,33,0,0,19,52,0,11,7,0,8,0,1,0,4,4,1,3,0,1,16,13,0,0,0,3,0,43,0,0,0,0,2,24,0,0,9,63,1,1,3,49,57,0,10,0,20,35,15,30,2,89,9,1,23,2,15,31,24,53,18,11,29,16,15,9,6,0,5,62,0,43,0,54,36,0,15,44,38,56,35,16,44,59,9,54,35,4,12
2009-12,33,1.67,60,0,52,54,2,30,1,0,16,122,0,10,1,0,2,0,1,3,1,7,3,2,1,5,12,5,0,0,15,7,0,163,0,0,6,9,2,37,0,3,23,70,4,2,3,38,62,0,10,0,13,30,13,23,1,75,36,43,24,0,16,31,19,50,16,10,29,16,8,15,37,0,1,51,1,38,31,46,32,0,12,40,38,42,20,16,56,50,9,37,19,2,7
2010-01,49,1.61,58,15,56,41,0,32,6,7,19,268,0,9,7,0,0,0,303,0,0,28,7,44,0,14,66,3,1,0,4,37,0,261,0,3,0,1,8,1,0,0,0,424,2,10,6,41,56,0,12,24,30,29,12,19,0,82,13,1,27,1,13,39,22,57,18,20,0,21,7,11,7,0,2,49,16,53,4,41,33,0,15,30,38,55,29,14,47,66,18,43,35,1,9
2010-02,37,1.31,47,0,57,57,0,35,0,0,22,25,0,12,1,0,0,0,63,2,0,4,3,11,0,3,5,12,0,0,1,8,0,23,0,0,0,0,2,3,0,0,0,73,0,3,3,46,50,0,10,24,25,36,15,28,0,98,4,49,26,2,15,25,21,56,16,13,35,16,10,8,25,0,2,49,2,40,0,43,36,0,15,24,45,55,30,17,38,51,9,60,18,2,8
2010-03,33,0.67,24,0,60,63,2,35,2,0,21,71,0,6,2,0,0,1,75,2,0,2,2,25,1,9,38,17,0,0,3,7,0,105,0,0,0,0,4,4,0,0,2,186,0,3,1,43,50,0,9,21,15,43,19,27,0,85,5,43,25,1.5,15,24,24,51,15,18,35,15,15,11,1,0,1,44,2,46,25,53,33,0,15,38,62,51,28,17,44,57,10,48,17,3,9
2010-04,22,1.53,55,0,59,69,1,38,0,0,24,84,0,11,0,0,0,0,1,0,0,11,1,11,0,1,25,1,0,0,0,13,0,85,0,0,0,2,0,33,0,0,2,108,0,0,1,42,49,0,12,0,15,30,20,28,0,79,3,43,29,1.5,19,39,21,57,16,21,0,18,11,10,16,0,1,50,1,42,27,48,32,0,15,42,61,70,20,16,48,62,10,46,23,3,8
2010-05,33,1.97,71,0,52,50,0,31,0,0,18,46,0,8,1,0,0,0,50,0,0,5,0,1,0,10,6,10,1,0,2,8,0,59,0,1,0,9,1,32,0,2,4,151,0,4,0,40,46,0,10,0,15,41,17,25,0,82,1,0,24,1.5,18,24,20,56,17,16,0,20,11,8,32,0,2,47,2,45,53,44,48,0,14,37,67,51,20,18,46,55,8,56,28,7,9
2010-06,33,0.72,26,0,50,63,3,31,0,0,18,140,0,0,0,0,0,0,62,0,0,3,0,12,0,12,5,4,0,0,3,8,0,72,0,0,0,0,1,3,0,0,4,85,0,2,0,37,45,0,9,0,21,33,12,23,0,88,3,48,29,1.5,13,17,19,46,17,14,0,18,7,9,3,0,7,42,3,40,43,38,39,0,12,26,62,47,28,13,38,53,8,44,18,3,7
2010-07,44,0.42,15,0,49,50,1,31,1,0,15,70,0,8,2,0,0,0,1,2,0,4,1,16,0,4,21,3,0,0,8,13,0,68,0,0,0,0,5,36,0,0,3,74,0,2,1,32,49,0,9,0,21,25,12,17,0,74,28,48,23,1.5,11,22,18,45,13,14,0,17,10,9,1,0,7,42,1,39,27,31,23,0,12,21,59,38,17,11,31,54,7,42,18,2,8
2010-08,42,0.56,20,0,50,47,2,30,0,0,15,67,0,0,0,0,0,0,2,0,0,1,1,8,0,0,13,4,2,0,0,12,0,50,0,1,0,4,2,2,0,0,2,137,1,3,0,36,52,0,10,0,17,22,14,18,1,68,1,0,28,1.5,13,27,20,45,14,12,32,16,10,10,1,0,0,45,0,40,2,28,30,0,13,19,57,42,22,11,40,51,10,38,16,3,7
2010-09,39,1.58,57,0,51,59,2,32,0,0,17,62,0,7,5,0,0,0,52,0,0,11,3,6,1,1,8,2,0,0,0,11,0,90,0,0,0,0,3,1,0,1,1,79,1,1,1,46,49,0,9,0,21,32,15,20,0,77,9,39,30,2,13,20,20,44,19,15,26,17,8,17,31,0,0,47,20,45,1,34,31,0,19,21,56,51,34,14,41,53,7,51,20,9,8
2010-10,34,0.81,29,0,59,66,2,35,0,0,16,55,0,8,0,0,0,0,1,8,0,3,3,30,2,16,59,6,0,0,1,10,0,78,0,0,0,4,1,3,0,1,3,8,0,3,1,37,49,0,14,14,23,31,21,27,0,80,16,40,27,1.5,14,32,28,57,21,14,0,18,12,11,3,0,4,42,7,41,28,43,40,0,21,28,49,59,20,17,39,56,7,51,16,4,7
2010-11,31,1.61,58,0,54,59,0,35,0,1,17,29,0,6,0,0,0,0,2,4,0,1,0,44,1,19,16,22,0,1,7,8,0,99,0,0,0,4,2,31,0,4,2,129,3,0,0,44,56,0,13,17,34,32,18,25,1,88,3,48,42,1.5,19,30,29,58,18,15,32,18,12,10,16,0,5,45,1,46,28,50,42,0,18,33,52,57,23,15,37,58,8,51,18,2,11
2010-12,31,1.75,63,1,50,55,1,43,0,0,14,57,0,0,1,0,3,1,1,5,1,2,8,3,1,3,10,4,0,0,8,16,0,154,0,0,5,13,3,1,3,4,8,133,0,1,1,38,50,0,10,0,52,23,15,17,0,77,4,39,23,1.5,25,23,31,47,16,11,19,19,9,20,33,0,0,43,0,41,19,39,31,0,13,30,55,44,24,14,55,51,11,43,29,3,7
2011-01,38,1.64,59,10,58,67,0,37,1,0,15,263,0,6,1,0,4,0,1,9,0,29,2,56,0,19,76,2,0,0,3,37,0,242,0,1,0,0,18,3,0,0,7,8,1,12,4,42,52,50,9,0,20,25,18,20,1,77,9,35,36,1.5,13,24,35,45,19,17,0,18,10,25,174,0,3,44,6,39,22,41,38,0,13,26,49,50,27,17,35,50,12,47,17,3,6
2011-02,19,1.11,40,0,59,63,0,40,0,0,18,81,0,7,4,0,3,2,1,0,1,4,0,5,0,3,20,6,1,0,2,16,0,62,0,3,0,0,4,1,0,1,1,89,1,2,1,40,55,0,10,14,24,32,16,22,2,80,1,48,27,1,15,18,47,57,15,20,29,17,13,55,7,6,2,53,1,41,28,42,29,1,20,25,42,51,19,16,46,55,6,57,18,3,8
2011-03,27,0.67,24,2,59,67,1,35,0,0,18,60,0,5,0,0,1,0,1,8,0,5,0,6,0,3,33,8,4,0,1,9,0,91,0,1,0,2,4,3,0,0,8,8,0,1,1,39,48,0,10,0,21,35,17,28,0,86,2,48,26,1.5,16,46,32,65,14,16,26,16,9,24,1,1,1,48,2,46,25,43,31,0,13,31,45,61,24,11,38,57,10,48,18,6,7
2011-04,21,1.53,55,2,61,67,2,35,0,0,17,134,0,6,0,1,3,0,85,0,0,4,0,16,4,0,17,4,0,1,1,7,0,93,0,2,0,5,0,1,0,0,0,99,1,3,0,41,55,0,12,14,26,36,18,31,0,100,3,43,29,1.5,19,27,32,56,18,15,35,18,10,24,26,0,1,55,6,51,34,45,40,0,15,43,47,48,27,18,43,60,9,49,18,3,8
2011-05,25,1.33,48,0,61,83,0,33,0,0,14,1,0,6,0,0,7,0,1,0,0,1,2,3,0,2,10,2,1,0,0,7,0,74,0,0,0,1,8,1,0,3,2,132,0,2,1,45,55,0,13,14,34,36,17,24,0,87,10,26,26,2,17,37,58,54,15,16,0,18,12,24,41,0,1,44,1,50,25,43,43,0,14,41,48,47,29,12,41,52,8,49,29,3,16
2011-06,32,1.31,47,3,57,76,1,34,0,2,13,86,0,8,1,0,0,0,1,0,0,2,2,14,0,3,11,7,0,0,1,13,0,84,0,2,0,2,1,1,0,0,3,167,0,1,1,36,61,0,10,0,20,33,28,21,0,84,16,1,25,1,13,41,33,45,14,23,0,17,9,19,33,12,5,45,1,42,31,31,38,0,12,23,47,44,39,13,36,54,6,49,17,3,8
2011-07,35,0.33,12,0,57,70,1,35,0,0,14,50,0,5,1,0,4,0,2,0,1,1,0,32,0,9,14,5,0,0,1,4,0,62,0,0,0,0,8,1,0,1,2,134,0,0,2,37,58,0,9,0,24,19,13,17,0,75,8,35,25,1,12,30,39,48,16,13,29,16,10,19,2,0,3,61,0,62,22,24,30,0,12,16,45,40,23,12,39,55,6,41,16,2,9
2011-08,47,0.97,35,0,57,68,0,34,0,0,13,1,0,0,2,0,0,0,84,2,0,7,0,2,4,1,14,3,0,0,3,5,0,64,0,0,2,1,3,5,0,2,1,92,1,2,0,41,51,0,10,19,27,25,17,18,0,76,4,27,25,1,14,38,33,47,19,16,32,16,10,23,15,0,0,61,2,46,28,26,28,1,15,20,51,57,17,13,44,50,9,38,18,2,7
2011-09,32,1,36,0,65,63,1,39,0,0,15,1,0,7,11,0,0,0,105,9,0,6,0,19,0,2,13,7,0,0,0,9,0,115,0,0,0,0,5,4,2,0,5,8,0,13,1,36,53,1,12,0,25,29,14,22,1,73,1,26,23,1,15,27,38,50,24,21,20,15,11,60,9,0,2,43,1,48,0,38,33,0,13,20,42,50,22,15,43,52,5,54,29,3,9
2011-10,24,0.89,32,3,59,45,0,39,0,0,21,83,0,9,8,0,0,0,3,9,0,1,0,4,0,7,30,2,0,6,3,7,0,96,0,0,0,2,6,6,0,1,3,120,0,45,2,38,55,0,10,0,22,37,31,33,0,82,8,43,28,1.5,17,28,39,53,14,18,37,19,11,44,1,0,7,45,4,42,22,40,40,0,13,26,47,47,24,16,38,58,14,53,45,4,9
2011-11,21,1.64,59,0,59,51,0,36,0,1,16,104,0,7,0,0,0,0,1,0,0,1,2,19,4,2,8,3,0,0,1,9,0,111,0,2,0,0,2,1,0,0,3,8,0,3,0,44,56,0,14,17,24,37,21,25,0,84,4,35,25,1,23,30,40,50,18,16,26,17,12,44,1,0,1,46,0,50,38,52,42,0,12,32,44,55,34,17,43,61,8,55,22,5,9
2011-12,28,1.56,56,0,55,50,4,36,0,1,14,3,0,6,1,0,7,2,3,3,0,1,16,23,1,3,20,5,5,1,12,14,0,136,0,0,8,6,3,4,5,3,9,117,0,3,4,47,53,0,9,0,25,31,18,21,1,79,4,39,20,1.5,20,21,37,44,15,33,23,16,9,30,4,0,5,42,2,43,27,37,30,0,15,34,47,44,22,20,38,59,13,50,27,3,7
2012-01,49,2.25,81,1,58,65,1,37,2,4,15,327,0,6,2,0,1,0,4,8,0,48,1,43,0,27,133,3,8,0,4,4,0,442,0,0,0,3,15,173,0,5,2,470,6,18,0,45,56,0,14,0,28,26,18,18,1,74,5,35,29,1,15,26,37,42,14,16,16,16,10,51,2,3,2,46,9,44,28,37,41,0,11,20,44,56,19,15,42,49,6,54,18,20,9
2012-02,39,0.69,25,1,64,63,2,43,0,2,16,78,0,7,9,0,2,0,2,0,0,0,0,22,0,1,15,8,0,0,2,11,0,118,0,0,0,1,7,36,0,1,11,151,1,8,1,44,57,0,13,21,33,30,18,24,1,80,16,39,34,1.5,17,28,37,49,15,16,26,16,8,48,2,0,0,42,4,45,34,41,37,0,13,28,37,53,29,18,38,62,10,59,20,9,10
2012-03,18,0.64,23,10,63,60,1,38,2,8,17,128,0,9,11,0,3,0,123,0,0,4,4,40,0,5,43,2,0,0,4,15,0,198,0,0,0,0,7,2,0,0,2,8,1,1,1,42,56,0,10,0,22,98,16,25,0,82,15,61,28,1.5,19,31,39,52,14,16,26,20,10,54,29,0,1,40,1,53,41,41,36,0,18,33,41,56,22,18,44,60,7,59,18,6,10
2012-04,30,1.86,67,2,66,88,4,37,0,0,16,1,0,9,0,0,0,0,109,0,0,8,0,19,1,2,15,12,0,0,2,11,0,119,0,0,0,0,2,26,0,1,8,8,7,1,1,52,55,0,14,24,33,49,14,23,0,84,11,57,25,1.5,22,40,25,48,19,16,32,19,10,50,5,1,9,40,3,48,31,42,38,0,15,40,39,59,21,14,100,59,21,57,19,4,9
2012-05,27,1.67,60,0,57,79,1,38,0,0,15,77,0,6,1,0,0,0,90,2,0,4,0,3,1,0,16,16,0,1,0,8,0,160,0,0,0,0,9,37,1,2,4,153,0,4,0,39,57,0,11,69,26,38,15,25,0,88,5,54,26,1.5,19,31,23,45,17,18,19,19,11,42,1,0,3,40,2,47,63,42,38,0,17,35,41,63,22,16,58,52,10,51,18,5,8
2012-06,32,0.89,32,0,59,75,7,36,0,1,14,4,0,6,1,0,0,0,104,8,0,3,6,46,4,8,29,5,6,0,2,9,0,133,0,0,0,1,2,3,0,1,15,169,1,6,1,39,55,0,13,33,30,30,16,24,1,79,7,40,25,1,16,34,23,44,16,21,32,41,8,34,6,0,4,41,2,47,46,40,40,0,15,19,101,50,22,15,60,55,11,46,17,10,15
