token,display,category
Global_Disaster_Total,Global Disaster Total,Global
Global_Holidays_Average,Global Holidays Average,Global
Global_Holidays_Total,Global Holidays Total,Global
PT_Animal-Assisted Interventions,PT Animal-Assisted Interventions,PT
PT_Antidepressants,PT Antidepressants,PT
PT_Antipsychotic Medications,PT Antipsychotic Medications,PT
PT_Behavioral Activation Therapy,PT Behavioral Activation Therapy,PT
PT_Benzodiazepines,PT Benzodiazepines,PT
PT_Biofeedback Devices,PT Biofeedback Devices,PT
PT_Brain Stimulation Technologies,PT Brain Stimulation Technologies,PT
PT_Brain-Computer Interface,PT Brain-Computer Interface,PT
PT_Cognitive Behavioral Therapy,PT Cognitive Behavioral Therapy,PT
PT_Cognitive Enhancement Programs,PT Cognitive Enhancement Programs,PT
PT_Cognitive Technologies,PT Cognitive Technologies,PT
PT_Creative Arts Therapies,PT Creative Arts Therapies,PT
PT_Dietary Interventions & Supplements,PT Dietary Interventions & Supplements,PT
PT_Digital Health Tools,PT Digital Health Tools,PT
PT_Digital Imaging Technologies for Brain Scanning,PT Digital Imaging Technologies for Brain Scanning,PT
PT_Electroencephalography,PT Electroencephalography,PT
PT_Exposure Therapy,PT Exposure Therapy,PT
PT_Expressive Writing & Journaling,PT Expressive Writing & Journaling,PT
PT_Eye Movement Desensitization and Reprocessing,PT Eye Movement Desensitization and Reprocessing,PT
PT_Genetic Testing,PT Genetic Testing,PT
PT_Interpersonal Psychotherapy,PT Interpersonal Psychotherapy,PT
PT_Meditation and Relaxation Techniques,PT Meditation and Relaxation Techniques,PT
PT_Metaverse,PT Metaverse,PT
PT_Mindfulness-Based Stress Reduction,PT Mindfulness-Based Stress Reduction,PT
PT_Mood Stabilizers,PT Mood Stabilizers,PT
PT_Neurocognitive Training,PT Neurocognitive Training,PT
PT_Neurofeedback Systems,PT Neurofeedback Systems,PT
PT_Neuromodulation Techniques,PT Neuromodulation Techniques,PT
PT_Neuroprotective Agents,PT Neuroprotective Agents,PT
PT_Peer Support Programs & Online Communities,PT Peer Support Programs & Online Communities,PT
PT_Personalized Medicine,PT Personalized Medicine,PT
PT_Privacy-Preserving AI in Digital Mental Health,PT Privacy-Preserving AI in Digital Mental Health,PT
PT_Psychoeducation Programs,PT Psychoeducation Programs,PT
PT_Psychophysiological Metrics for Treatment Response,PT Psychophysiological Metrics for Treatment Response,PT
PT_Regenerative Medicine Approaches,PT Regenerative Medicine Approaches,PT
PT_Resting-state Functional Magnetic Resonance Imaging,PT Resting-state Functional Magnetic Resonance Imaging,PT
PT_Selective Serotonin Reuptake Inhibitors,PT Selective Serotonin Reuptake Inhibitors,PT
PT_Social Skills Training,PT Social Skills Training,PT
PT_Stem Cell Therapy for Neurological Disorders,PT Stem Cell Therapy for Neurological Disorders,PT
PT_Traditional & Alternative Medicine Approaches,PT Traditional & Alternative Medicine Approaches,PT
PT_Transcranial Magnetic Stimulation,PT Transcranial Magnetic Stimulation,PT
PT_Trauma-Focused CBT,PT Trauma-Focused CBT,PT
PT_Virtual Reality Exposure Therapy,PT Virtual Reality Exposure Therapy,PT
PT_Voxel-based Lesion-Symptom Mapping,PT Voxel-based Lesion-Symptom Mapping,PT
RMD_Anorexia nervosa,RMD Anorexia nervosa,RMD
RMD_Antisocial Personality Disorder,RMD Antisocial Personality Disorder,RMD
RMD_Autosarcophagy,RMD Autosarcophagy,RMD
RMD_Avoidant Personality,RMD Avoidant Personality,RMD
RMD_Boanthropy,RMD Boanthropy,RMD
RMD_Body Integrity Dysphoria,RMD Body Integrity Dysphoria,RMD
RMD_Brief Psychotic,RMD Brief Psychotic,RMD
RMD_Capgras,RMD Capgras,RMD
RMD_Childhood Disintegrative Disorder,RMD Childhood Disintegrative Disorder,RMD
RMD_Circadian Rhythm Sleep-Wake,RMD Circadian Rhythm Sleep-Wake,RMD
RMD_Cyclothymic,RMD Cyclothymic,RMD
RMD_Delusional,RMD Delusional,RMD
RMD_Dementia pugilistica,RMD Dementia pugilistica,RMD
RMD_Diogenes,RMD Diogenes,RMD
RMD_Disinhibited Social Engagement,RMD Disinhibited Social Engagement,RMD
RMD_Dissociative Fugue,RMD Dissociative Fugue,RMD
RMD_Ekbom,RMD Ekbom,RMD
RMD_Erotomanic,RMD Erotomanic,RMD
RMD_Factitious,RMD Factitious,RMD
RMD_Fregoli Delusion,RMD Fregoli Delusion,RMD
RMD_Ganser,RMD Ganser,RMD
RMD_Hallucinogen-Induced Psychotic,RMD Hallucinogen-Induced Psychotic,RMD
RMD_Histrionic Personality,RMD Histrionic Personality,RMD
RMD_Hypergraphia,RMD Hypergraphia,RMD
RMD_Hyperthymesia,RMD Hyperthymesia,RMD
RMD_Impulse Control,RMD Impulse Control,RMD
RMD_Intermetamorphosis,RMD Intermetamorphosis,RMD
RMD_Kleine-Levin,RMD Kleine-Levin,RMD
RMD_Kleptomania,RMD Kleptomania,RMD
RMD_Landau-Kleffner,RMD Landau-Kleffner,RMD
RMD_Narcissistic Personality,RMD Narcissistic Personality,RMD
RMD_Olfactory Reference,RMD Olfactory Reference,RMD
RMD_Othello,RMD Othello,RMD
RMD_Palilalia,RMD Palilalia,RMD
RMD_Paramnesia,RMD Paramnesia,RMD
RMD_Postpartum Psychosis,RMD Postpartum Psychosis,RMD
RMD_Psychogenic Amnesia,RMD Psychogenic Amnesia,RMD
RMD_Pyromania,RMD Pyromania,RMD
RMD_Reactive Attachment,RMD Reactive Attachment,RMD
RMD_Reduplicative Paramnesia,RMD Reduplicative Paramnesia,RMD
RMD_Rumination,RMD Rumination,RMD
RMD_Savant,RMD Savant,RMD
RMD_Schizoaffective,RMD Schizoaffective,RMD
RMD_Schizotypal Personality,RMD Schizotypal Personality,RMD
RMD_Selective Mutism,RMD Selective Mutism,RMD
RMD_Stendhal,RMD Stendhal,RMD
RMD_Walking Corpse,RMD Walking Corpse,RMD
RMD_koro,RMD koro,RMD
